date,fund,company,ticker,cusip,weight (%)
02/28/2025,ARKVX,SpaceX,,,15.88%
02/28/2025,ARKVX,"Anthropic, Inc.",,,3.79%
02/28/2025,ARKVX,Lambda Labs,,,3.79%
02/28/2025,ARKVX,"Hammerspace, Inc.",,,3.78%
02/28/2025,ARKVX,"Blockdaemon, inc.",,,3.62%
02/28/2025,ARKVX,"Epic Games, Inc",,,2.92%
02/28/2025,ARKVX,OpenAI,,,2.84%
02/28/2025,ARKVX,"Radiant Industries, Inc",,,2.66%
02/28/2025,ARKVX,Tenstorrent Holdings Inc.,,,2.44%
02/28/2025,ARKVX,"Freenome, Inc",,,2.33%
02/28/2025,ARKVX,"Apptronik, Inc.",,,2.28%
02/28/2025,ARKVX,"Groq, Inc.",,,2.28%
02/28/2025,ARKVX,Relation Therapeutics Inc.,,,2.25%
02/28/2025,ARKVX,Discord Inc.,,,2.24%
02/28/2025,ARKVX,Archer Aviation Inc.,ACHR,03945R102,2.12%
02/28/2025,ARKVX,Figure AI Inc.,,,2.07%
02/28/2025,ARKVX,Zipline International Inc.,,,1.98%
02/28/2025,ARKVX,"Databricks, Inc.",,,1.96%
02/28/2025,ARKVX,Umoja Biopharma,,,1.90%
02/28/2025,ARKVX,Revolut Group Holdings LTD,,,1.90%
02/28/2025,ARKVX,"Lila Sciences, Inc.",,,1.90%
02/28/2025,ARKVX,Shield AI,,,1.72%
02/28/2025,ARKVX,"Perplexity AI, Inc.",,,1.52%
02/28/2025,ARKVX,"Generate:Biomedicines, Inc.",,,1.52%
02/28/2025,ARKVX,"Kodiak Robotics, Inc.",,,1.52%
02/28/2025,ARKVX,"Mythical, Inc.",,,1.48%
02/28/2025,ARKVX,Tempus AI,TEM,88023B103,1.39%
02/28/2025,ARKVX,X.AI Corp.,,,1.37%
02/28/2025,ARKVX,CRISPR Therapeutics AG,CRSP,H17182108,1.27%
02/28/2025,ARKVX,"Recursion Pharmaceuticals, Inc.",RXRX,75629V104,1.14%
02/28/2025,ARKVX,Absci,ABSI,00091E109,1.05%
02/28/2025,ARKVX,"Replit, Inc.",,,0.95%
02/28/2025,ARKVX,"Supersocial, Inc.",,,0.93%
02/28/2025,ARKVX,"Robinhood Markets, Inc.",HOOD,770700102,0.91%
02/28/2025,ARKVX,Shopify Inc.,SHOP,82509L107,0.83%
