date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/07/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,142,503","$4,580,795.63",5.53%
03/07/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"15,365","$4,027,544.66",4.87%
03/07/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"88,304","$3,851,107.53",4.65%
03/07/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"389,592","$3,794,626.08",4.58%
03/07/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"23,836,946","$3,622,177.43",4.38%
03/07/2025,PRNT,NIKON CORP,7731,6642321,"330,569","$3,512,456.38",4.24%
03/07/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"26,031","$3,500,659.72",4.23%
03/07/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,136,335","$3,443,095.05",4.16%
03/07/2025,PRNT,PROTO LABS INC,PRLB,743713109,"90,670","$3,437,299.70",4.15%
03/07/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,498,336","$3,251,389.12",3.93%
03/07/2025,PRNT,HP INC,HPQ,40434L105,"106,999","$3,206,760.03",3.87%
03/07/2025,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,"28,399","$3,155,412.89",3.81%
03/07/2025,PRNT,RENISHAW PLC,RSW,0732358,"85,062","$3,138,516.01",3.79%
03/07/2025,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"101,838","$3,029,680.50",3.66%
03/07/2025,PRNT,ANSYS INC,ANSS,03662Q105,"8,994","$2,924,309.16",3.53%
03/07/2025,PRNT,AUTODESK INC,ADSK,052769106,"10,757","$2,801,015.23",3.38%
03/07/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"167,469","$2,723,045.94",3.29%
03/07/2025,PRNT,PTC INC,PTC,69370C100,"16,725","$2,685,366.00",3.24%
03/07/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"104,775","$2,588,990.25",3.13%
03/07/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"458,914","$2,317,515.70",2.80%
