date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/11/2025,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"1,978,531","$156,402,875.55",10.84%
03/11/2025,ARKW,ROKU INC,ROKU,77543R102,"1,575,963","$112,129,767.45",7.77%
03/11/2025,ARKW,TESLA INC,TSLA,88160R101,"474,594","$105,431,057.10",7.30%
03/11/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,859,542","$99,987,573.34",6.93%
03/11/2025,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"477,184","$85,525,688.32",5.93%
03/11/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,122,479","$75,623,926.77",5.24%
03/11/2025,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"123,761","$74,007,840.39",5.13%
03/11/2025,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"937,207","$71,583,870.66",4.96%
03/11/2025,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"650,931","$60,373,850.25",4.18%
03/11/2025,ARKW,BLOCK INC,XYZ,852234103,"868,104","$47,520,012.96",3.29%
03/11/2025,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"4,342,867","$40,041,233.74",2.77%
03/11/2025,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"888,076","$33,071,950.24",2.29%
03/11/2025,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"97,173","$30,012,852.78",2.08%
03/11/2025,ARKW,AMAZON.COM INC,AMZN,023135106,"140,347","$27,303,105.38",1.89%
03/11/2025,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"258,806","$25,008,423.78",1.73%
03/11/2025,ARKW,MERCADOLIBRE INC,MELI,58733R102,"12,862","$25,011,573.82",1.73%
03/11/2025,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"213,501","$24,896,351.61",1.72%
03/11/2025,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"48,842","$23,895,460.08",1.66%
