date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/14/2025,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"836,319","$24,688,136.88",9.57%
03/14/2025,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"860,099","$23,110,860.13",8.96%
03/14/2025,ARKX,ROCKET LAB USA INC,RKLB,773122106,"943,821","$16,582,934.97",6.43%
03/14/2025,ARKX,TRIMBLE INC,TRMB,896239100,"249,365","$16,555,342.35",6.42%
03/14/2025,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,156,220","$15,632,595.00",6.06%
03/14/2025,ARKX,TERADYNE INC,TER,880770102,"172,961","$14,758,762.13",5.72%
03/14/2025,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"165,456","$13,173,606.72",5.11%
03/14/2025,ARKX,AEROVIRONMENT INC,AVAV,008073108,"91,222","$11,310,615.78",4.38%
03/14/2025,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"51,226","$10,817,906.68",4.19%
03/14/2025,ARKX,AMAZON.COM INC,AMZN,023135106,"55,601","$10,780,477.89",4.18%
03/14/2025,ARKX,KOMATSU LTD,6301,6496584,"349,188","$10,316,891.32",4.00%
03/14/2025,ARKX,THALES SA,HO,4162791,"31,340","$8,054,378.98",3.12%
03/14/2025,ARKX,DEERE & CO,DE,244199105,"16,872","$7,880,742.48",3.05%
03/14/2025,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"2,381,223","$7,215,105.69",2.80%
03/14/2025,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"153,171","$6,389,117.86",2.48%
03/14/2025,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,068,533","$6,400,512.67",2.48%
03/14/2025,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"26,717","$5,593,738.29",2.17%
03/14/2025,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"31,341","$5,162,802.93",2.00%
03/14/2025,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"13,469","$4,856,786.71",1.88%
03/14/2025,ARKX,ADVANCED MICRO DEVICES,AMD,007903107,"45,089","$4,423,681.79",1.71%
03/14/2025,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"2,396,925","$4,120,054.55",1.60%
03/14/2025,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"202,954","$4,055,142.69",1.57%
03/14/2025,ARKX,HEICO CORP,HEI,422806109,"15,093","$3,787,739.28",1.47%
03/14/2025,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"7,444","$3,580,564.00",1.39%
03/14/2025,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"16,144","$3,336,803.36",1.29%
03/14/2025,ARKX,AIRBUS SE,AIR,4012250,"18,386","$3,235,636.01",1.25%
03/14/2025,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"5,721","$2,677,027.53",1.04%
03/14/2025,ARKX,SYNOPSYS INC,SNPS,871607107,"5,700","$2,442,906.00",0.95%
03/14/2025,ARKX,ANSYS INC,ANSS,03662Q105,"7,655","$2,430,921.80",0.94%
03/14/2025,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"199,803","$1,992,035.91",0.77%
03/14/2025,ARKX,3D SYSTEMS CORP,DDD,88554D205,"597,403","$1,517,403.62",0.59%
03/14/2025,ARKX,INTUITIVE MACHINES INC,LUNR,46125A100,"156,921","$1,051,370.70",0.41%
03/14/2025,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"112,211","$112,210.97",0.04%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
