date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/14/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"941,679","$85,306,700.61",9.70%
03/14/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"366,809","$65,104,929.41",7.41%
03/14/2025,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"636,601","$50,908,981.97",5.79%
03/14/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,326,692","$47,787,445.84",5.44%
03/14/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,344,386","$43,840,427.46",4.99%
03/14/2025,ARKF,BLOCK INC,XYZ,852234103,"715,541","$38,667,835.64",4.40%
03/14/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"661,192","$36,848,230.16",4.19%
03/14/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"451,882","$35,978,844.84",4.09%
03/14/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"20,297","$32,975,826.60",3.75%
03/14/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"16,152","$32,137,634.40",3.66%
03/14/2025,ARKF,ROKU INC,ROKU,77543R102,"420,870","$28,463,438.10",3.24%
03/14/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"694,774","$25,699,690.26",2.92%
03/14/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"43,409","$25,639,091.76",2.92%
03/14/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"801,956","$24,964,890.28",2.84%
03/14/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,951,881","$22,231,924.59",2.53%
03/14/2025,ARKF,SEA LTD-ADR,SE,81141R100,"170,798","$21,317,298.38",2.42%
03/14/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,724,860","$18,419,856.47",2.10%
03/14/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"33,446","$17,990,937.86",2.05%
03/14/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"1,666,869","$16,618,683.93",1.89%
03/14/2025,ARKF,LY CORP,4689,6084848,"4,553,796","$16,398,660.11",1.87%
03/14/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"420,713","$15,112,010.96",1.72%
03/14/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"74,791","$14,501,226.99",1.65%
03/14/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,303,003","$14,007,282.25",1.59%
03/14/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"126,815","$13,635,148.80",1.55%
03/14/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"331,008","$13,253,560.32",1.51%
03/14/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"134,014","$12,729,989.86",1.45%
03/14/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"37,707","$12,538,708.71",1.43%
03/14/2025,ARKF,INTUIT INC,INTU,461202103,"21,191","$12,318,752.12",1.40%
03/14/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"93,630","$11,378,853.90",1.29%
03/14/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"169,310","$11,328,532.10",1.29%
03/14/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"90,390","$10,447,276.20",1.19%
03/14/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"61,819","$10,456,065.66",1.19%
03/14/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"138,695","$9,482,577.15",1.08%
03/14/2025,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"73,152","$8,732,885.76",0.99%
03/14/2025,ARKF,AVIDXCHANGE HOLDINGS INC,AVDX,05368X102,"965,130","$7,566,619.20",0.86%
03/14/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"164,932","$7,261,955.96",0.83%
03/14/2025,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"876,357","$6,337,963.33",0.72%
03/14/2025,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"708,347","$708,347.21",0.08%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
