date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/31/2025,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"1,978,531","$165,345,835.67",11.05%
03/31/2025,ARKW,TESLA INC,TSLA,88160R101,"468,546","$123,485,298.30",8.26%
03/31/2025,ARKW,ROKU INC,ROKU,77543R102,"1,413,282","$102,448,812.18",6.85%
03/31/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,552,545","$91,708,833.15",6.13%
03/31/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,095,439","$87,840,802.88",5.87%
03/31/2025,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"471,104","$81,939,118.72",5.48%
03/31/2025,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"925,267","$79,434,171.95",5.31%
03/31/2025,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"122,185","$70,468,976.90",4.71%
03/31/2025,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"642,639","$62,130,338.52",4.15%
03/31/2025,ARKW,BLOCK INC,XYZ,852234103,"844,205","$46,709,862.65",3.12%
03/31/2025,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"4,079,615","$41,408,092.25",2.77%
03/31/2025,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"95,937","$34,260,062.07",2.29%
03/31/2025,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"853,862","$30,132,789.98",2.01%
03/31/2025,ARKW,AMAZON.COM INC,AMZN,023135106,"138,559","$26,703,090.48",1.79%
03/31/2025,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"255,510","$26,373,742.20",1.76%
03/31/2025,ARKW,MERCADOLIBRE INC,MELI,58733R102,"12,698","$26,006,392.86",1.74%
03/31/2025,ARKW,RUBRIK INC-A,RBRK,781154109,"396,286","$25,227,566.76",1.69%
03/31/2025,ARKW,PAGERDUTY INC,PD,69553P100,"1,349,796","$25,335,670.92",1.69%
03/31/2025,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"210,781","$24,222,952.52",1.62%
03/31/2025,ARKW,GITLAB INC-CL A,GTLB,37637K108,"486,658","$23,544,514.04",1.57%
03/31/2025,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,"739,081","$23,258,879.07",1.56%
03/31/2025,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"41,593","$23,340,327.88",1.56%
03/31/2025,ARKW,UNITY SOFTWARE INC,U,91332U101,"1,025,201","$21,057,628.54",1.41%
03/31/2025,ARKW,TOAST INC-CLASS A,TOST,888787108,"592,992","$19,912,671.36",1.33%
03/31/2025,ARKW,SALESFORCE INC,CRM,79466L302,"73,662","$19,886,530.14",1.33%
03/31/2025,ARKW,QUALCOMM INC,QCOM,747525103,"123,471","$18,856,491.12",1.26%
03/31/2025,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"310,030","$17,315,175.50",1.16%
03/31/2025,ARKW,COREWEAVE INC-CL A,,21873S108,"411,875","$16,475,000.00",1.10%
03/31/2025,ARKW,IBOTTA INC-CL A,IBTA,451051106,"371,910","$15,895,433.40",1.06%
