date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/08/2025,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,302,796","$85,180,424.04",9.39%
04/08/2025,ARKG,TEMPUS AI INC,TEM,88023B103,"1,672,114","$71,399,267.80",7.87%
04/08/2025,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,135,221","$69,138,455.98",7.62%
04/08/2025,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"7,775,618","$59,911,136.69",6.60%
04/08/2025,ARKG,GUARDANT HEALTH INC,GH,40131M109,"1,417,007","$59,202,552.46",6.53%
04/08/2025,ARKG,NATERA INC,NTRA,632307104,"409,263","$56,584,702.38",6.24%
04/08/2025,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"12,864,752","$54,031,958.40",5.96%
04/08/2025,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,303,473","$41,946,243.33",4.62%
04/08/2025,ARKG,CAREDX INC,CDNA,14167L103,"2,354,992","$41,730,458.24",4.60%
04/08/2025,ARKG,VERACYTE INC,VCYT,92337F107,"1,257,264","$37,127,005.92",4.09%
04/08/2025,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,083,019","$31,870,190.70",3.51%
04/08/2025,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"1,004,369","$27,690,453.33",3.05%
04/08/2025,ARKG,ABSCI CORP,ABSI,00091E109,"10,656,155","$24,722,279.60",2.73%
04/08/2025,ARKG,PERSONALIS INC,PSNL,71535D106,"7,217,509","$23,456,904.25",2.59%
04/08/2025,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,025,736","$22,935,078.88",2.53%
04/08/2025,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"3,161,764","$20,677,936.56",2.28%
04/08/2025,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,017,555","$18,329,487.18",2.02%
04/08/2025,ARKG,AMGEN INC,AMGN,031162100,"59,231","$17,158,628.39",1.89%
04/08/2025,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"11,867,620","$15,665,258.40",1.73%
04/08/2025,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,595,477","$15,508,036.44",1.71%
04/08/2025,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"7,047,996","$14,589,351.72",1.61%
04/08/2025,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,"26,400","$12,528,384.00",1.38%
04/08/2025,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,"54,710","$11,748,425.40",1.30%
04/08/2025,ARKG,ILLUMINA INC,ILMN,452327109,"154,496","$11,347,731.20",1.25%
04/08/2025,ARKG,908 DEVICES INC,MASS,65443P102,"2,910,089","$11,087,439.09",1.22%
04/08/2025,ARKG,INCYTE CORP,INCY,45337C102,"168,569","$10,163,025.01",1.12%
04/08/2025,ARKG,QUANTUM-SI INC,QSI,74765K105,"8,747,654","$9,972,325.56",1.10%
04/08/2025,ARKG,CERUS CORP,CERS,157085101,"7,642,989","$9,477,306.36",1.04%
04/08/2025,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,"13,730","$7,864,269.40",0.87%
04/08/2025,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"1,812,023","$4,892,462.10",0.54%
04/08/2025,ARKG,STANDARD BIOTOOLS INC,LAB,34385P108,"3,466,295","$3,812,924.50",0.42%
04/08/2025,ARKG,PRIME MEDICINE INC,PRME,74168J101,"2,550,507","$3,315,659.10",0.37%
04/08/2025,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,302,232","$1,302,231.75",0.14%
04/08/2025,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,"755,549","$725,100.38",0.08%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
