date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/11/2025,ARKK,TESLA INC,TSLA,88160R101,"2,341,034","$590,876,981.60",12.20%
04/11/2025,ARKK,ROKU INC,ROKU,77543R102,"6,311,874","$374,104,771.98",7.72%
04/11/2025,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,151,224","$364,890,614.88",7.53%
04/11/2025,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"3,864,546","$342,360,130.14",7.07%
04/11/2025,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"6,075,237","$340,942,300.44",7.04%
04/11/2025,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"7,450,109","$255,240,734.34",5.27%
04/11/2025,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,556,282","$225,084,983.82",4.65%
04/11/2025,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,620,379","$221,762,674.77",4.58%
04/11/2025,ARKK,TEMPUS AI INC,TEM,88023B103,"5,449,570","$219,563,175.30",4.53%
04/11/2025,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,634,467","$133,130,526.21",2.75%
04/11/2025,ARKK,BLOCK INC,XYZ,852234103,"2,341,045","$123,864,690.95",2.56%
04/11/2025,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"226,485","$123,726,490.65",2.55%
04/11/2025,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"17,406,978","$122,196,985.56",2.52%
04/11/2025,ARKK,AMAZON.COM INC,AMZN,023135106,"632,419","$114,606,971.18",2.37%
04/11/2025,ARKK,PAGERDUTY INC,PD,69553P100,"7,215,601","$110,759,475.35",2.29%
04/11/2025,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"3,047,307","$105,832,972.11",2.19%
04/11/2025,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"6,194,411","$90,624,232.93",1.87%
04/11/2025,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"19,811,756","$89,351,019.56",1.84%
04/11/2025,ARKK,TERADYNE INC,TER,880770102,"1,187,530","$85,846,543.70",1.77%
04/11/2025,ARKK,GITLAB INC-CL A,GTLB,37637K108,"1,808,096","$77,711,966.08",1.60%
04/11/2025,ARKK,VERACYTE INC,VCYT,92337F107,"2,546,583","$77,034,135.75",1.59%
